Marca,Código Marca,Modelo,Código Modelo,Ano,Código Ano
Fiat,21,147 C/ CL,437,1987 Gasolina,1987-1
Fiat,21,147 C/ CL,437,1986 Gasolina,1986-1
Fiat,21,147 C/ CL,437,1985 Gasolina,1985-1
Fiat,21,147 Furgão (todos),438,1987 Gasolina,1987-1
Fiat,21,147 Furgão (todos),438,1986 Gasolina,1986-1
Fiat,21,147 Furgão (todos),438,1985 Gasolina,1985-1
Fiat,21,147 Pick-Up (todas),439,1988 Gasolina,1988-1
Fiat,21,147 Pick-Up (todas),439,1987 Gasolina,1987-1
Fiat,21,147 Pick-Up (todas),439,1986 Gasolina,1986-1
Fiat,21,147 Pick-Up (todas),439,1985 Gasolina,1985-1
Fiat,21,500 ABARTH MULTIAIR 1.4 TB 16V 3p,7097,2015 Gasolina,2015-1
Fiat,21,500 ABARTH MULTIAIR 1.4 TB 16V 3p,7097,2014 Gasolina,2014-1
Fiat,21,500 Cabrio Dualogic Flex 1.4 8V,6885,2017 Gasolina,2017-1
Fiat,21,500 Cabrio Dualogic Flex 1.4 8V,6885,2015 Gasolina,2015-1
Fiat,21,500 Cabrio Dualogic Flex 1.4 8V,6885,2014 Gasolina,2014-1
Fiat,21,500 Cabrio Flex 1.4 8V Mec.,6886,2015 Gasolina,2015-1
Fiat,21,500 Cabrio Flex 1.4 8V Mec.,6886,2014 Gasolina,2014-1
Fiat,21,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,6262,2015 Gasolina,2015-1
Fiat,21,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,6262,2014 Gasolina,2014-1
Fiat,21,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,6262,2013 Gasolina,2013-1
Fiat,21,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,6262,2012 Gasolina,2012-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Dualogic,5613,2015 Gasolina,2015-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Dualogic,5613,2014 Gasolina,2014-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Dualogic,5613,2013 Gasolina,2013-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Dualogic,5613,2012 Gasolina,2012-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Mec.,5614,2017 Gasolina,2017-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Mec.,5614,2015 Gasolina,2015-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Mec.,5614,2014 Gasolina,2014-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Mec.,5614,2013 Gasolina,2013-1
Fiat,21,500 Cult 1.4 Flex 8V EVO Mec.,5614,2012 Gasolina,2012-1
Fiat,21,500 LOUNGE 1.4 16V 100cv  Mec.,5059,2010 Gasolina,2010-1
Fiat,21,500 LOUNGE 1.4 16V 100cv Dualogic,5060,2012 Gasolina,2012-1
Fiat,21,500 LOUNGE 1.4 16V 100cv Dualogic,5060,2010 Gasolina,2010-1
Fiat,21,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.,5615,2014 Gasolina,2014-1
Fiat,21,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.,5615,2013 Gasolina,2013-1
Fiat,21,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.,5615,2012 Gasolina,2012-1
Fiat,21,500 SPORT 1.4 16V 100cv  Dualogic,5061,2010 Gasolina,2010-1
Fiat,21,500 SPORT 1.4 16V 100cv Mec.,5062,2010 Gasolina,2010-1
Fiat,21,500 SPORT 1.4 16V 100cv Mec.,5062,2009 Gasolina,2009-1
Fiat,21,500 SPORT 1.4 16V 100cv Mec.,5062,2008 Gasolina,2008-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,5616,2015 Gasolina,2015-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,5616,2014 Gasolina,2014-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,5616,2013 Gasolina,2013-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,5616,2012 Gasolina,2012-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex Mec.,5617,2014 Gasolina,2014-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex Mec.,5617,2013 Gasolina,2013-1
Fiat,21,500 Sport Air 1.4 16V/1.4 Flex Mec.,5617,2012 Gasolina,2012-1
Fiat,21,500e ICON (Elétrico),9584,32000 Gasolina,32000-1
Fiat,21,500e ICON (Elétrico),9584,2022 Gasolina,2022-1
Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1
Fiat,21,ARGO 1.0 6V Flex.,8315,2025 Gasolina,2025-1
Fiat,21,ARGO 1.0 6V Flex.,8315,2024 Gasolina,2024-1
Fiat,21,ARGO 1.0 6V Flex.,8315,2023 Gasolina,2023-1
