Unnamed: 0,URL,Fabricante,Modelo,Versao,Modelo_FIPE,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Production year,Model year
0,https://www.mobiauto.com.br/comprar/carros/ba-salvador/bmw/320i/2015/2-0-turbo-activeflex-16v-gp-4p-g/detalhes/16650363?page=detail,BMW,320i,2.0 Turbo/ActiveFlex 16V/GP 4p - G,320i 2.0 Turbo/ActiveFlex 16V/GP 4p - G,99990,Salvador - BA,2014/2015,Flex,2,118.0,Automática,Preto,Sedan,2014,2015
1,https://www.mobiauto.com.br/comprar/carros/ba-salvador/nissan/march/2014/1-6-16v-sv-flex/detalhes/18669990?page=detail,Nissan,March,1.6 16V SV (Flex),March 1.6 16V SV (Flex),39900,Salvador - BA,2013/2014,Flex,4,147.867,Manual,Cinza,Hatch,2013,2014
2,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/up/2018/1-0-12v-tsi-e-flex-cross/detalhes/8951109?page=detail,Volkswagen,Up!,1.0 12v TSI E-Flex Cross,Up! 1.0 12v TSI E-Flex Cross,57900,Salvador - BA,2017/2018,Flex,9,103.139,Manual,Branco,Hatch,2017,2018
3,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/chevrolet/prisma/2018/1-4-ltz-spe-4/detalhes/19770290?page=detail,Chevrolet,Prisma,1.4 LTZ SPE/4,Prisma 1.4 LTZ SPE/4,54900,Lauro de Freitas - BA,2017/2018,Flex,3,297.074,Manual,Vermelho,Sedan,2017,2018
4,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/ford/fiesta-hatch/2012/1-6-flex/detalhes/19701894?page=detail,Ford,Fiesta Hatch,1.6 (Flex),Fiesta Hatch 1.6 (Flex),29900,Lauro de Freitas - BA,2012/2012,Flex,5,127.0,Manual,Branco,Hatch,2012,2012
5,https://www.mobiauto.com.br/comprar/carros/ba-salvador/citroen/aircross/2019/1-6-16v-shine-flex-aut/detalhes/19685412?page=detail,Citroën,Aircross,1.6 16V Shine (Flex) (Aut),Aircross 1.6 16V Shine (Flex) (Aut),65900,Salvador - BA,2018/2019,Flex,3,43.0,Automática,Branco,Monovolume,2018,2019
6,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/citroen/berlingo/2019/furgao-1-6-16v-flex/detalhes/19558419?page=detail,Citroën,Berlingo,Furgão 1.6 16V (Flex),Berlingo Furgão 1.6 16V (Flex),49900,Lauro de Freitas - BA,2018/2019,Flex,4,120.696,Manual,Branco,Furgão & Van,2018,2019
7,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/fiat/argo/2023/drive-1-0-flex/detalhes/19301488?page=detail,Fiat,Argo,Drive 1.0 (Flex),Argo Drive 1.0 (Flex),69900,Lauro de Freitas - BA,2023/2023,Flex,9,38.449,Manual,Branco,Hatch,2023,2023
8,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/toyota/hilux-cabine-dupla/2015/hilux-3-0-tdi-4x4-cd-sr/detalhes/19103175?page=detail,Toyota,Hilux Cabine Dupla,Hilux 3.0 TDI 4x4 CD SR,Hilux Cabine Dupla Hilux 3.0 TDI 4x4 CD SR,128900,Lauro de Freitas - BA,2015/2015,Diesel,2,186.05,Automática,Prata,Picapes,2015,2015
9,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/kia/sportage/2014/ex-2-0-4x2-flex-p586/detalhes/19103116?page=detail,Kia,Sportage,EX 2.0 4X2 (Flex) P586,Sportage EX 2.0 4X2 (Flex) P586,76900,Lauro de Freitas - BA,2013/2014,Flex,8,107.269,Automática,Branco,SUV,2013,2014
