,URL,Fabricante,Modelo,Versao,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Airbag motorista,Ar-condicionado,Direção hidráulica,Vidros elétricos dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Bancos de couro,Airbag duplo frontal,Limpador traseiro,Desembaçador traseiro,Câmbio automático,Rodas de liga leve,Tração 4x4,Ar quente,Airbags laterais,Vidros elétricos traseiros,Banco do motorista com regulagem de altura,Ajuste elétrico dos retrovisores,Adaptado para pcd,Sensor de estacionamento dianteiro,Direção elétrica,Kit visibilidade,Sensor de estacionamento traseiro,Aceita troca,Ipva pago,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Cd player,Computador de bordo,Baixa quilometragem,Único dono,Airbags de cortina,Cintos três-pontos para todos os ocupantes,Controle de tração,Controle eletrônico de estabilidade (esc),Chave presencial,Encostos de cabeça no banco traseiro,Retrovisores com rebatimento elétrico,Volante com regulagem de altura e profundidade,Volante multifuncional,Bluetooth,Entradas usb,Rádio,Assistente de subida em rampa,Carregador de celular por indução,Câmera de ré,Espelhamento de celular,Farol de neblina,Fixação para cadeirinhas infantis (isofix),Start-stop,Central multimídia,Teto solar,Piloto automático adaptativo (acc),Alerta de ponto cego,Alerta de tráfego traseiro cruzado,Acendimento automático dos faróis,Banco do motorista com ajuste elétrico,Banco do motorista com aquecimento,Banco traseiro bipartido,Banco traseiro rebatível,Luz de cortesia no porta-luvas,Luz de cortesia no porta-malas,Regulagem de altura do facho dos faróis,Retrovisor interno eletrocrômico,Saídas de ar-condicionado na segunda fileira,Volante com regulagem de altura,Ar-condicionado digital,Farol alto automático,Faróis de led,Luz de condução diurna (drl),Brake light,Trio elétrico,Distribuição eletrônica de frenagem (ebd),Airbag central,Nenhuma batida,Parece novo,Pneus novos,Veículo de não fumante,Revisões realizadas,Pronta entrega,Laudo cautelar aprovado,Licenciado esse ano,Possui vistoria,Limitador de velocidade,Frenagem autônoma de emergência (aeb),Gps,Sensor de chuva,Sensor de farol,Cd player com mp3,Saldão,Possui multas,Porta-copos,Aerofólio,Garantia de fábrica,Protetor de caçamba,Capota marítima,Wi-fi,Volante com acabamento em couro,Alerta de cinto para condutor,Alerta de cinto para passageiro da primeira fila,Ar-condicionado digital de 2 zonas,7 lugares,Garantia de 1 ano,Assistente de descida,Para-choque na cor do veículo,Cluster digital,Computador de bordo digital,Chave canivete,Descanso de braço na primeira fileira,Tração dianteira,Vidros elétricos traseiros one touch,Vidros elétricos dianteiros one touch,Pneus de uso misto,Encomenda,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros antiesmagamento,Airbag de joelho,Airbag de capô,Android auto sem fio,Apple carplay,Apple carplay sem fio,Câmera 360º,Seta no retrovisor,Sistema de conectividade,Rodas de aço com calotas,Android auto,Teto panorâmico,Kit multimídia com tv,Toca fitas,Mylink,Trava multilock,Airbags traseiros,Friso lateral,Caçamba de fibra,Auto hold,Ancoragem de cadeiras infantis,Farol de milha,Barras longitudinais no teto,Estepe integral,Tração traseira,Kit gnv,Apoio de cabeça para passageiros da segunda fileira,Partida por botão,Certificado,Faróis de xenônio,Estepe temporário,Pneus run flat,Leitor de placa,Assistente de manutenção de faixa,Faróis com projetor,Alerta de mudança de faixa,Capa de banco,Tração 4x4 reduzida,Entrada usb no banco de trás,Alerta de cinto para todos os ocupantes	,Lanternas traseiras de led,Sensor crepuscular,Banco do passageiro com ajuste elétrico,Veículo alienado,Bancos dianteiros com aquecimento,Pneus de uso off-road,Park assist paralelo,Calha de chuva,Freio a disco dianteiro,Ar quente (ar-condicionado)
0,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/toyota/hilux-sw4/2009/srv-4x4-3-0-turbo-aut2/detalhes/9562843?page=detail&undefined,Toyota,Hilux SW4,SRV 4x4 3.0 Turbo  (aut)2,R$ 79.900,Lauro de Freitas - BA,2009/2009,Diesel,2,270.000,Automática,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,3.0 16V Turbo,163 (F),35.0 (F),N/C,- (F),N/C,N/C,4x4 permanente,,"Independente, braços duplos triangulares, molas helicoidais e barra estabilizadora",Four-link e molas helicoidais,Disco ventilado (ABS),Tambor (ABS),1850,1840,4695,,65,2750,900,5,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/t-cross/2022/1-0-200-tsi-comfortline-aut-flex/detalhes/9557053?page=detail&undefined,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 110.900,Salvador - BA,2021/2022,Flex,1,30.016,Automática,Prata,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,,,Sim,,,Sim,,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/t-cross/2022/1-0-200-tsi-comfortline-aut-flex/detalhes/9557041?page=detail&undefined,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 107.000,Salvador - BA,2021/2022,Flex,1,3.617,Automática,Branco,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,,,Sim,Sim,,Sim,,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/taos/2022/highline-1-4-tsi-aut-flex/detalhes/9557027?page=detail&undefined,Volkswagen,Taos,Highline 1.4 TSI (Aut) (Flex),R$ 164.900,Salvador - BA,2021/2022,Flex,6,23.608,Automática,Azul,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,Sim,,Sim,1.4,150 (E) / 150 (G),25.5 (E) / 25.5 (G),194 (E),9.3 (E),7.6 (E) / 10.9 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidais","Suspensão tipo multibraço, roda tipo independente e molas helicoidais",Discos ventilados,Discos sólidos,1626,1841,4461,1420,51,2680,498,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/t-cross/2022/1-0-200-tsi-comfortline-aut-flex/detalhes/9265043?page=detail&undefined,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 112.900,Salvador - BA,2021/2022,Flex,3,7.972,Automática,Branco,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,,,Sim,,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/taos/2022/comfortline-1-4-tsi-aut-flex/detalhes/9556548?page=detail&undefined,Volkswagen,Taos,Comfortline 1.4 TSI (Aut) (Flex),R$ 135.900,Salvador - BA,2021/2022,Flex,5,21.322,Automática,Branco,SUV,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,Sim,,Sim,1.4 TSI,150 (E) / 150 (G),25.5 (E) / 25.5 (G),194 (E) / 194 (G),9.3 (E) / 9.3 (G),7.6 (E) / 10.9 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão independente, braços sobrepostos e mola helicoidal.",Suspensão tipo eixo de torção e molas helicoidal.,Discos ventilados,Discos sólidos,1626,1841,2680,1420,51,2680,498,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/spin/2021/ls-1-8-5s-flex/detalhes/9524453?page=detail&undefined,Chevrolet,Spin,LS 1.8 5S (Flex),R$ 68.900,Salvador - BA,2021/2021,Flex,5,94.000,Manual,Branco,Monovolume,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,,,,,,Sim,,,,,Sim,,,Sim,Sim,1.8,111 (E) / 106 (G),17.7 (E) / 16.8 (G),173 (E),10.2 (E),7.8 (E) / 11.3 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1684,1735,4416,1167,53,2620,710,5,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,Sim,,,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/nivus/2021/comfortline-1-0-turbo-aut-flex/detalhes/9135301?page=detail&undefined,Volkswagen,Nivus,Comfortline 1.0 Turbo (Aut) (Flex),R$ 94.900,Salvador - BA,2021/2021,Flex,5,28.269,Automática,Prata,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,,,Sim,,Sim,1.0 Turbo,128 (E) / 116 (G),20.4 (E) / 20.4 (G),189 (E) / 184 (G),10 (E) / 10.5 (G),N/C,N/C,Dianteira,Elétrica,McPherson,Eixo de torção,Disco ventilado,Disco,1757,1493,4266,1199,52,2566,415,5,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,Sim,,,,,,,,,,Sim,Sim,,,,,,,,,Sim,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/t-cross/2020/1-0-200-tsi-12v-aut-flex/detalhes/9064377?page=detail&undefined,Volkswagen,T-Cross,1.0 200 TSI 12V (Aut) (Flex),R$ 89.900,Salvador - BA,2019/2020,Flex,5,28.301,Automática,Preto,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,Sim,,Sim,,Sim,1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),193 (E),10.2 (E),N/C,N/C,dianteira,,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,,2651,420,5,,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,,,,,,,Sim,,,Sim,Sim,Sim,Sim,,,Sim,Sim,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/voyage/2023/1-0-mpi-flex/detalhes/9064364?page=detail&undefined,Volkswagen,Voyage,1.0 MPI (Flex),R$ 63.900,Salvador - BA,2022/2023,Flex,6,19.007,Manual,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,,,Sim,,Sim,,Sim,,,,Sim,,Sim,Sim,,,,,,,,Sim,1.0,84 (E) / 77 (G),10.3 (E) / 9.6 (G),164 (E) / 162 (G),13.4 (E) / 13.7 (G),8.9 (E) / 13.4 (G),10.6 (E) / 15.6 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1464,1656,4213,1015,55,2467,480,5,,Sim,Sim,Sim,,Sim,,,,Sim,,,,,Sim,,,,,,,Sim,,,,,,,,,,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
