Marca,Modelo,Código API
Acura,Integra GS 1.8,1
Acura,Legend 3.2/3.5,2
Acura,NSX 3.0,3
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,4
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,4564
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,4563
Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,4566
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,4565
Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,4567
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,4568
Agrale,MARRUÁ AM 200 Esc. 3.8 TDI Die.Aut. (E6),10883
Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,9352
Agrale,MARRUÁ AM 200 Escolar 3.8 TDI Die. (E6),10884
Agrale,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,9353
Agrale,MARRUÁ AM 250 3.8 CD TDI Die. Aut. (E6),10864
Agrale,MARRUÁ AM 250 3.8 CD TDI Diesel (E6),10569
Agrale,MARRUÁ AM 250 3.8 CS TDI Die. Aut. (E6),10865
Agrale,MARRUÁ AM 250 3.8 CS TDI Diesel (E6),10866
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,4569
Alfa Romeo,145 Elegant 1.7/1.8 16V,5
Alfa Romeo,145 Elegant 2.0 16V,6
Alfa Romeo,145 Quadrifoglio 2.0,7
Alfa Romeo,145 QV,8
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,9
Alfa Romeo,155,10
Alfa Romeo,155 Super,11
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,12
Alfa Romeo,156 Sport Wagon 2.0 16V,13
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,14
Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,15
Alfa Romeo,164 3.0 V6,16
Alfa Romeo,164 Super V6 24V,17
Alfa Romeo,166 3.0 V6 24V,18
Alfa Romeo,2300 TI/TI-4,19
Alfa Romeo,Spider 2.0/3.0,20
AM Gen,Hummer Hard-Top 6.5 4x4 Diesel TB,21
AM Gen,Hummer Open-Top 6.5 4x4 Diesel TB,22
AM Gen,Hummer Wagon 6.5 4x4 Diesel TB,23
Asia Motors,AM-825 Luxo 4.0 Diesel,24
Asia Motors,AM-825 Super Luxo 4.0 Diesel,25
Asia Motors,Hi-Topic SLX/SDX/DLX Full Diesel,26
Asia Motors,Hi-Topic STD Diesel,27
Asia Motors,Hi-Topic Van 2.7 Diesel (furgão),28
Asia Motors,Jipe Rocsta GT 4x4 2.2 Diesel,29
Asia Motors,Topic Carga 2.7 Diesel (furgão),30
Asia Motors,Topic Luxo Diesel,31
Asia Motors,Topic Super Luxo Diesel,32
Asia Motors,Towner Coach Full,33
Asia Motors,Towner Furgão,34
Asia Motors,Towner Glass Van,35
Asia Motors,Towner Luxo,36
Asia Motors,Towner Multiuso 5p,37
Asia Motors,Towner Panel Van,38
Asia Motors,Towner Pick-Up,39
Asia Motors,Towner SDX / DLX/ STD,40
Asia Motors,Towner Super Luxo,41
Asia Motors,Towner Truck,42
Audi,100 2.8 V6,43
Audi,100 2.8 V6 Avant,44
Audi,100 S-4 2.2 Avant Turbo,45
Audi,80 2.0,46
Audi,80 2.0 Avant,47
Audi,80 2.6/ 2.8,48
Audi,80 2.6/2.8 Avant,49
Audi,80 2.8 Cabriolet,50
Audi,80 S2 Avant,51
Audi,A1 1.4 TFSI 122cv S-tronic 3p,5496
Audi,A1 2.0 TFSI Quattro 256cv 3p,6293
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,6143
Audi,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,7727
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,6201
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,6200
Audi,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,7418
Audi,A3 1.6 3p,52
Audi,A3 1.6 3p Aut.,53
Audi,A3 1.6 5p,54
Audi,A3 1.6 5p Aut.,55
Audi,A3 1.6 8V 102cv 3p,4154
Audi,A3 1.8 3p,56
Audi,A3 1.8 3p Aut.,57
Audi,A3 1.8 5p Aut.,58
Audi,A3 1.8 5p Mec.,59
Audi,A3 1.8 Turbo 180cv 3p Aut./ Tip.,60
Audi,A3 1.8 Turbo 180cv 3p Mec.,61
Audi,A3 1.8 Turbo 180cv 5p Aut./ Tip.,62
Audi,A3 1.8 Turbo 180cv 5p Mec.,63
Audi,A3 1.8 Turbo 3p Aut.,64
Audi,A3 1.8 Turbo 3p Mec.,65
Audi,A3 1.8 Turbo 5p Aut.,66
Audi,A3 1.8 Turbo 5p Mec.,67
Audi,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,6950
Audi,A3 Cabriolet Ambition 2.0 TFSI S-tronic,8227
Audi,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,8559
Audi,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,7419
Audi,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,8945
Audi,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,8768
Audi,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,6689
Audi,A3 Sed.Perf. Black 2.0 TFSI S-tr. (Hib.),10195
