thefuzz,difflib,setence-transformer,referencia
320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,320i 2.0 Turbo/ActiveFlex 16V/GP 4p - G
MARCH SV 1.6 16V Flex Fuel,Cerato 1.6 16V  Flex  Aut.,MARCH SV 1.6 16V Flex Fuel,March 1.6 16V SV (Flex)
up! cross 1.0 TSI Total Flex 12V 5p,Não encontrado,up! cross 1.0 TSI Total Flex 12V 5p,Up! 1.0 12v TSI E-Flex Cross
2300 TI/TI-4,Não encontrado,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,Prisma 1.4 LTZ SPE/4
Integra GS 1.8,Fiesta SE 1.6 8V Flex 5p,Fiesta Sedan 1.6 16V Flex Aut.,Fiesta Hatch 1.6 (Flex)
AIRCROSS Shine 1.6 Flex 16V 5p Aut.,Cerato 1.6 16V  Flex  Aut.,AIRCROSS Shine 1.6 Flex 16V 5p Aut.,Aircross 1.6 16V Shine (Flex) (Aut)
Berlingo Furgão 1.6 16V Flex 5P,Berlingo Furgão 1.6 16V Flex 5P,Berlingo Furgão 1.6 16V Flex 5P,Berlingo Furgão 1.6 16V (Flex)
ARGO DRIVE 1.0 6V Flex,Não encontrado,ARGO DRIVE 1.0 6V Flex,Argo Drive 1.0 (Flex)
Legend 3.2/3.5,Não encontrado,Hilux CD SRX Limited 4x4 2.8 TDI Die.Aut,Hilux Cabine Dupla Hilux 3.0 TDI 4x4 CD SR
Legend 3.2/3.5,Sportage EX 2.0 16V/ 2.0 16V Flex Aut.,EcoSport XL 1.6/ 1.6 Flex 8V 5p,Sportage EX 2.0 4X2 (Flex) P586
AM-825 Super Luxo 4.0 Diesel,Não encontrado,ONIX SD. P. PR. MIDNIGHT 1.0 TB Flex Aut,Onix 1.4 LT SPE/4
VIRTUS TSI 1.0 Flex 12V 4p Aut.,Não encontrado,VIRTUS TSI 1.0 Flex 12V 4p Aut.,Virtus TSI 1.0
Integra GS 1.8,208 Allure 1.0 Turbo Flex 5p Aut.,ONIX SD. P. PR. MIDNIGHT 1.0 TB Flex Aut,Onix Plus 1.0 Premier Turbo Flex (Aut)
Grand Siena ESSENCE 1.6 Flex 16V,Fiesta SE 1.6 16V Flex 5p,Siena ESSENCE 1.6 Flex 16V 4p,Siena Essence 1.6 16V (Flex)
