,Fabricante,Modelo,Versao,Valor,Cidade,Combustível,KM,Câmbio,Cor,Carroceria,Desembaçador do vidro traseiro,Computador de bordo,Aceita troca,Pronta entrega,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Desembaçador traseiro,Airbag para motorista,Direção elétrica,Volante multifuncional,Airbag central,Ar condicionado digital,Veículo de não fumante,Revisões realizadas,Laudo cautelar aprovado,Possui vistoria,Ar condicionado,Controle elétrico do vidros dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Bancos revestidos de couro,Airbags frontais,Rodas de liga leve,Piloto automático adaptativo,Airbags laterais,Controle elétrico do vidros traseiros,Distribuição eletrônica de frenagem (ebd),Volante com ajuste de altura,Conexão usb,Rádio,Sensores de estacionamento dianteiro,Faróis de neblina,Central multimídia,Nenhuma batida,Único dono,Pneus novos,Airbag duplo frontal,Airbag motorista,Ar-condicionado,Volante com regulagem de altura,Entradas usb,Bancos de couro,Vidros elétricos dianteiros,Vidros elétricos traseiros,Farol de neblina,Piloto automático adaptativo (acc),Sensor de estacionamento dianteiro,Direção hidráulica,Limpador do vidro traseiro,Cd player,Ar quente,Banco do motorista com ajuste de altura,Brake light,Conexão bluetooth,Parece novo,Limpador traseiro,Trio elétrico,Sistema star-stop,Ajuste elétrico dos retrovisores,Ipva pago,Saldão,Aerofólio,Alerta de cinto para passageiro da primeira fila,Baixa quilometragem,Licenciado esse ano,Isofix para fixação de cadeira infantil,Banco traseiro bipartido,Banco traseiro rebatível,Cintos de três pontos para todos os ocupantes,Encosto de cabeça para todos os ocupantes,Cintos três-pontos para todos os ocupantes,Encostos de cabeça no banco traseiro,Fixação para cadeirinhas infantis (isofix),Kit visibilidade,Controle de tração,Câmera de ré,Assistente de partida em rampa,Apple carplay,Limitador de velocidade,Alerta de cinto para condutor,Controle eletrônico de estabilidade,Luz no porta-luvas,Volante com ajuste de profundidade,Controle eletrônico de estabilidade (esc),Luz de cortesia no porta-luvas,Volante com regulagem de altura e profundidade,Banco do motorista com regulagem de altura,Assistente de subida em rampa,Start-stop,Garantia de fábrica,Sensor de chuva,Sensor de farol,Cd player com mp3,Tração 4x4,Adaptado para pcd,Sensores de estacionamento traseiro,Acendimento automático dos faróis,Teto solar,Rodas de aço com calotas,Protetor de caçamba,Chave canivete,Garantia de 1 ano,Sensor de estacionamento traseiro,Bluetooth,Navegador gps,Airbags de cortina,Alerta de mudança de faixa,Frenagem autônoma de emergência,Controle automático de descida,Roteador wi-fi,Luz de condução diurna,Espelhamento da tela do celular,Retrovisores rebatíveis eletricamente,Retrovisor interno fotocrômico,Assistente de descida,Frenagem autônoma de emergência (aeb),Retrovisor interno eletrocrômico,Retrovisores com rebatimento elétrico,Espelhamento de celular,Gps,Luz de condução diurna (drl),Wi-fi,Chave presencial,Luz no porta-malas,Luz de cortesia no porta-malas,Para-choque na cor do veículo,Entrada usb no banco de trás,Tração dianteira,Friso lateral,Porta-copos,Assistente de permanência em faixa,Alerta de ponto cego,Android auto sem fio,Faróis de led,Carregador de celular por indução,Apoio de braço para o motorista,Assistente de manutenção de faixa,Descanso de braço na primeira fileira,Android auto,Vidros elétricos dianteiros one touch,Estepe integral,Mylink,Sistema de conectividade veicular,Possui multas,Volante com acabamento em couro,Encomenda,Capota marítima,Sensor crepuscular,Tração 4x4 reduzida,Tração traseira,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros one touch,Vidros elétricos traseiros antiesmagamento,Seta no retrovisor,Troca de marchas no volante,Auto hold,Sensor de estacionamento lateral,Saídas de ar condicionado na segunda fileira,Sistema de conectividade,Câmera 360°,Partida por botão,Terceira fileira de bancos,7 lugares,Airbags traseiros,Farol alto automático,Computador de bordo digital,Alerta de cinto para todos os ocupantes	,Ar condicionado digital de 2 zonas,Reconhecimento de placas de trânsito,Pneus de uso misto,Blindagem,Kit multimídia com tv,Banco do motorista com aquecimento,Banco do passageiro com aquecimento,Banco do motorista com ajuste elétrico,Trava multilock,Alerta de tráfego traseiro cruzado,Saídas de ar-condicionado na segunda fileira,Toca fitas,Ar-condicionado digital,Teto panorâmico,Veículo alienado,Farol de milha,Kit gnv,Apoio de cabeça para passageiros da segunda fileira,Ar condicionado digital de 3 zonas,Airbags de joelho,Banco do passageiro com ajuste elétrico,Caçamba de fibra,Estepe temporário,Barras longitudinais no teto,Cluster digital,Regulagem de altura do facho dos faróis,Certificado,Faróis com ajuste de altura,Ar-condicionado digital de 2 zonas,Faróis de xenônio,Câmera 360º,Capa de banco,Lanternas traseiras de led,Faróis com projetor,Ancoragem de cadeiras infantis,Apoio de braço no banco traseiro,Monitoramento de pressão dos pneus,Park assist,Faróis de led matrix,Apple carplay sem fio,Calha de chuva,Alças de segurança no teto,Freio a disco dianteiro,Model year
0,Fiat,Siena,EL 1.0 8V (Flex),34900,Salvador - BA,Flex,84,Manual,Branco,Sedan,Sim,Sim,Sim,Sim,1.0,75 (E) / 73 (G),9.891247 (E) / 9.483361 (G),157 (E) / 156 (G),16.4 (E),9.9 (E),13.8 (E),dianteira,Não,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1425.0,1639.0,4155.0,1060.0,48.0,2374.0,500.0,5.0,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2013
1,Volkswagen,Fox,1.6 MSI Connect (Flex),62900,Salvador - BA,Flex,73129,Manual,Prata,Hatch,Não,Não,Sim,Sim,1.6,104 (E) / 101 (G),15.6 (E) / 15.4 (G),183 (E),10.6 (E),7.8 (E) / 11.6 (G),9.7 (E) / 13.9 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal",Dois freios à disco ventilados,Tambor ,1552.0,1660.0,3868.0,1072.0,50.0,2467.0,270.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
2,Ford,Ka Sedan,Titanium 1.5 (Aut) (Flex),63900,Lauro de Freitas - BA,Flex,102412,Automática,Cinza,Sedan,Sim,Sim,Sim,Sim,1.5,136 (E) / 128 (G),16.1 (E) / 15.6 (G),N/C,10.6 (E),7.6 (E) / 10.9 (G),14 (E),dianteira,Não,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1525.0,1774.0,4275.0,1135.0,51.0,2490.0,445.0,5.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2019
3,Volkswagen,Gol,1.0 MPI Trendline (Flex) 2p,42900,Salvador - BA,Flex,84500,Manual,Prata,Hatch,Sim,Não,Sim,Sim,1.0,82 (E) / 75 (G),10.4 (E) / 9.7 (G),170 (E) / 168 (G),12.3 (E),8.2 (E) / 10.3 (G),14.5 (E),dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1463.0,1649.0,3895.0,946.0,55.0,2465.0,285.0,5.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2017
4,Toyota,Yaris,1.5 XS Connect CVT (Flex),89900,Salvador - BA,Flex,67803,Automática,Branco,Hatch,Não,Não,Sim,Sim,1.5,110 (E) / 105 (G),14.9 (E) / 14.3 (G),173 (E),11.8 (E),8.8 (E) / 12.6 (G),10 (E) / 13.8 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco  ventilados,Tambor ,1490.0,1730.0,4145.0,1135.0,45.0,2550.0,310.0,5.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
5,Mercedes-Benz,C 200 ,1.5 C 200 EQ Boost Auto,119900,Lauro de Freitas - BA,Gasolina,108724,Automática,Branco,Sedan,Não,Não,Sim,Não,Não,N/C,N/C,N/C,- (E),N/C,N/C,Não,Não,Não,Não,Não,Não,Não,Não,0.0,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2015
6,Jeep,Compass,2.0 Limited,144900,Lauro de Freitas - BA,Diesel,37246,Automática,Branco,SUV,Não,Não,Sim,Sim,Não,N/C,N/C,N/C,- (E),N/C,N/C,Não,Não,Não,Não,Não,Não,Não,Não,0.0,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2021
7,Fiat,Palio,Sporting 1.6 16V (Flex),44900,Salvador - BA,Flex,93000,Automatizado,Vermelho,Hatch,Sim,Sim,Sim,Não,1.6,117 (E) / 115 (G),16.825317 (E) / 16.213488 (G),193 (E) / 191 (G),9.8 (E),9.1 (E),11.1 (E),dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1508.0,1704.0,3875.0,1090.0,48.0,2420.0,280.0,5.0,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2014
8,Fiat,Uno,Attractive 1.0,49900,Salvador - BA,Flex,60,Manual,Prata,Hatch,Não,Sim,Sim,Sim,1.0,75 (E) / 73 (G),9.9 (E) / 9.5 (G),153 (E) / 153 (G),13.8 (E) / 13.8 (G),8 (E) / 11.6 (G),9.4 (E) / 13.4 (G),Dianteira,Hidráulica,"Independente, McPherson com mola helicoidal",Eixo de torção com mola helicoidal,Discos sólidos,Tambor,1480.0,1636.0,3820.0,955.0,48.0,2376.0,280.0,5.0,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2021
9,Chevrolet,Classic,LS 1.0 VHCE (Flex),35900,Lauro de Freitas - BA,"MultiFlex (Etanol, Gasolina, GNV e Benzina)",110300,Manual,Branco,Sedan,Sim,Não,Sim,Sim,1.0,78 (E) / 77 (G),9.7 (E) / 9.5 (G),166 (E),13.6 (E),N/C,N/C,dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção e traseira com barra estabilizadora, roda tipo independente e molas helicoidal.",Dois freios à disco.,Não,1367.0,1608.0,4152.0,905.0,54.0,2443.0,390.0,5.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2016
