Fabricante,Modelo,Versao,Valor,Cidade,Combustível,KM,Câmbio,Cor,Carroceria,Airbag motorista,Ar-condicionado,Direção hidráulica,Vidros elétricos dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Bancos de couro,Airbag duplo frontal,Limpador traseiro,Desembaçador traseiro,Câmbio automático,Rodas de liga leve,Tração 4x4,Ar quente,Airbags laterais,Vidros elétricos traseiros,Banco do motorista com regulagem de altura,Ajuste elétrico dos retrovisores,Adaptado para pcd,Sensor de estacionamento dianteiro,Direção elétrica,Kit visibilidade,Sensor de estacionamento traseiro,Aceita troca,Ipva pago,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Cd player,Computador de bordo,Baixa quilometragem,Único dono,Airbags de cortina,Cintos três-pontos para todos os ocupantes,Controle de tração,Controle eletrônico de estabilidade (esc),Chave presencial,Encostos de cabeça no banco traseiro,Retrovisores com rebatimento elétrico,Volante com regulagem de altura e profundidade,Volante multifuncional,Bluetooth,Entradas usb,Rádio,Assistente de subida em rampa,Carregador de celular por indução,Câmera de ré,Espelhamento de celular,Farol de neblina,Fixação para cadeirinhas infantis (isofix),Start-stop,Central multimídia,Teto solar,Piloto automático adaptativo (acc),Alerta de ponto cego,Alerta de tráfego traseiro cruzado,Acendimento automático dos faróis,Banco do motorista com ajuste elétrico,Banco do motorista com aquecimento,Banco traseiro bipartido,Banco traseiro rebatível,Luz de cortesia no porta-luvas,Luz de cortesia no porta-malas,Regulagem de altura do facho dos faróis,Retrovisor interno eletrocrômico,Saídas de ar-condicionado na segunda fileira,Volante com regulagem de altura,Ar-condicionado digital,Farol alto automático,Faróis de led,Luz de condução diurna (drl),Brake light,Trio elétrico,Distribuição eletrônica de frenagem (ebd),Airbag central,Nenhuma batida,Parece novo,Pneus novos,Veículo de não fumante,Revisões realizadas,Pronta entrega,Laudo cautelar aprovado,Licenciado esse ano,Possui vistoria,Limitador de velocidade,Frenagem autônoma de emergência (aeb),Gps,Sensor de chuva,Sensor de farol,Cd player com mp3,Saldão,Possui multas,Porta-copos,Aerofólio,Garantia de fábrica,Protetor de caçamba,Capota marítima,Wi-fi,Volante com acabamento em couro,Alerta de cinto para condutor,Alerta de cinto para passageiro da primeira fila,Ar-condicionado digital de 2 zonas,7 lugares,Garantia de 1 ano,Assistente de descida,Para-choque na cor do veículo,Cluster digital,Computador de bordo digital,Chave canivete,Descanso de braço na primeira fileira,Tração dianteira,Vidros elétricos traseiros one touch,Vidros elétricos dianteiros one touch,Pneus de uso misto,Encomenda,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros antiesmagamento,Airbag de joelho,Airbag de capô,Android auto sem fio,Apple carplay,Apple carplay sem fio,Câmera 360º,Seta no retrovisor,Sistema de conectividade,Rodas de aço com calotas,Android auto,Teto panorâmico,Kit multimídia com tv,Toca fitas,Mylink,Trava multilock,Airbags traseiros,Friso lateral,Caçamba de fibra,Auto hold,Ancoragem de cadeiras infantis,Farol de milha,Barras longitudinais no teto,Estepe integral,Tração traseira,Kit gnv,Apoio de cabeça para passageiros da segunda fileira,Partida por botão,Certificado,Faróis de xenônio,Estepe temporário,Pneus run flat,Leitor de placa,Assistente de manutenção de faixa,Faróis com projetor,Alerta de mudança de faixa,Capa de banco,Tração 4x4 reduzida,Entrada usb no banco de trás,Alerta de cinto para todos os ocupantes	,Lanternas traseiras de led,Sensor crepuscular,Banco do passageiro com ajuste elétrico,Veículo alienado,Bancos dianteiros com aquecimento,Pneus de uso off-road,Park assist paralelo,Calha de chuva,Freio a disco dianteiro,Ar quente (ar-condicionado),Model year
Toyota,Hilux SW4,SRV 4x4 3.0 Turbo  (aut)2,79900,Lauro de Freitas - BA,Diesel,270000,Automática,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,3.0 16V Turbo,163 (F),35.0 (F),N/C,- (F),N/C,N/C,4x4 permanente,Não,"Independente, braços duplos triangulares, molas helicoidais e barra estabilizadora",Four-link e molas helicoidais,Disco ventilado (ABS),Tambor (ABS),1850.0,1840.0,4695.0,Não,65.0,2750.0,900.0,5.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2009
Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),110900,Salvador - BA,Flex,30016,Automática,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,Não,Não,Disco ventilado,Não,1568.0,1760.0,4199.0,1250.0,52.0,2651.0,420.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),107000,Salvador - BA,Flex,3617,Automática,Branco,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,Não,Não,Disco ventilado,Não,1568.0,1760.0,4199.0,1250.0,52.0,2651.0,420.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
Volkswagen,Taos,Highline 1.4 TSI (Aut) (Flex),164900,Salvador - BA,Flex,23608,Automática,Azul,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,1.4,150 (E) / 150 (G),25.5 (E) / 25.5 (G),194 (E),9.3 (E),7.6 (E) / 10.9 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidais","Suspensão tipo multibraço, roda tipo independente e molas helicoidais",Discos ventilados,Discos sólidos,1626.0,1841.0,4461.0,1420.0,51.0,2680.0,498.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,2022
Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),112900,Salvador - BA,Flex,7972,Automática,Branco,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,Não,Não,Disco ventilado,Não,1568.0,1760.0,4199.0,1250.0,52.0,2651.0,420.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
Volkswagen,Taos,Comfortline 1.4 TSI (Aut) (Flex),135900,Salvador - BA,Flex,21322,Automática,Branco,SUV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,1.4 TSI,150 (E) / 150 (G),25.5 (E) / 25.5 (G),194 (E) / 194 (G),9.3 (E) / 9.3 (G),7.6 (E) / 10.9 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão independente, braços sobrepostos e mola helicoidal.",Suspensão tipo eixo de torção e molas helicoidal.,Discos ventilados,Discos sólidos,1626.0,1841.0,2680.0,1420.0,51.0,2680.0,498.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
Chevrolet,Spin,LS 1.8 5S (Flex),68900,Salvador - BA,Flex,94000,Manual,Branco,Monovolume,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,1.8,111 (E) / 106 (G),17.7 (E) / 16.8 (G),173 (E),10.2 (E),7.8 (E) / 11.3 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1684.0,1735.0,4416.0,1167.0,53.0,2620.0,710.0,5.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2021
Volkswagen,Nivus,Comfortline 1.0 Turbo (Aut) (Flex),94900,Salvador - BA,Flex,28269,Automática,Prata,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,1.0 Turbo,128 (E) / 116 (G),20.4 (E) / 20.4 (G),189 (E) / 184 (G),10 (E) / 10.5 (G),N/C,N/C,Dianteira,Elétrica,McPherson,Eixo de torção,Disco ventilado,Disco,1757.0,1493.0,4266.0,1199.0,52.0,2566.0,415.0,5.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2021
Volkswagen,T-Cross,1.0 200 TSI 12V (Aut) (Flex),89900,Salvador - BA,Flex,28301,Automática,Preto,SUV,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),193 (E),10.2 (E),N/C,N/C,dianteira,Não,Não,Não,Dois freios à disco com dois discos ventilados,Não,1568.0,1760.0,4199.0,1250.0,Não,2651.0,420.0,5.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2020
Volkswagen,Voyage,1.0 MPI (Flex),63900,Salvador - BA,Flex,19007,Manual,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,1.0,84 (E) / 77 (G),10.3 (E) / 9.6 (G),164 (E) / 162 (G),13.4 (E) / 13.7 (G),8.9 (E) / 13.4 (G),10.6 (E) / 15.6 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1464.0,1656.0,4213.0,1015.0,55.0,2467.0,480.0,5.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2023
