,Fabricante,Modelo,Versao,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Airbag motorista,Ar-condicionado,Direção hidráulica,Vidros elétricos dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Airbag duplo frontal,Limpador traseiro,Desembaçador traseiro,Câmbio automático,Computador de bordo,Vidros elétricos traseiros,Sensor de estacionamento dianteiro,Farol de neblina,Baixa quilometragem,Único dono,Ipva pago,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Airbags laterais,Distribuição eletrônica de frenagem (ebd),Direção elétrica,Trio elétrico,Volante com regulagem de altura,Volante multifuncional,Central multimídia,Entradas usb,Rádio,Piloto automático adaptativo (acc),Rodas de liga leve,Sensor de farol,Airbags de cortina,Brake light,Cintos três-pontos para todos os ocupantes,Controle de tração,Controle eletrônico de estabilidade (esc),Frenagem autônoma de emergência (aeb),Sensor de estacionamento traseiro,Acendimento automático dos faróis,Ar quente,Banco traseiro bipartido,Banco traseiro rebatível,Chave presencial,Encostos de cabeça no banco traseiro,Luz de cortesia no porta-luvas,Luz de cortesia no porta-malas,Regulagem de altura do facho dos faróis,Saídas de ar-condicionado na segunda fileira,Volante com regulagem de altura e profundidade,Bluetooth,Banco do motorista com regulagem de altura,Bancos de couro,Ajuste elétrico dos retrovisores,Assistente de subida em rampa,Carregador de celular por indução,Câmera de ré,Espelhamento de celular,Fixação para cadeirinhas infantis (isofix),Luz de condução diurna (drl),Start-stop,Retrovisores com rebatimento elétrico,Tração 4x4,Adaptado para pcd,Kit visibilidade,Aceita troca,Cd player,Airbag central,Nenhuma batida,Parece novo,Pneus novos,Veículo de não fumante,Revisões realizadas,Pronta entrega,Laudo cautelar aprovado,Licenciado esse ano,Possui vistoria,Retrovisor interno eletrocrômico,Ar-condicionado digital,Faróis de led,Limitador de velocidade,Gps,Sensor de chuva,Teto solar,Cd player com mp3,Saldão,Possui multas,Porta-copos,Aerofólio,Garantia de fábrica,Protetor de caçamba,Capota marítima,Wi-fi,Volante com acabamento em couro,Alerta de cinto para condutor,Alerta de cinto para passageiro da primeira fila,Ar-condicionado digital de 2 zonas,7 lugares,Garantia de 1 ano,Assistente de descida,Para-choque na cor do veículo,Cluster digital,Computador de bordo digital,Chave canivete,Descanso de braço na primeira fileira,Tração dianteira,Vidros elétricos traseiros one touch,Vidros elétricos dianteiros one touch,Pneus de uso misto,Encomenda,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros antiesmagamento,Airbag de joelho,Airbag de capô,Android auto sem fio,Apple carplay,Apple carplay sem fio,Câmera 360º,Seta no retrovisor,Sistema de conectividade,Rodas de aço com calotas,Android auto,Teto panorâmico,Kit multimídia com tv,Banco do motorista com aquecimento,Toca fitas,Mylink
0,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 97.900,Salvador - BA,2021/2021,Flex,8,28.832,,Marrom,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 121.900,Salvador - BA,2021/2022,Flex,9,12.294,,Preto,SUV,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 113.000,Salvador - BA,2022/2022,Flex,2,28.796,,Cinza,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,,,,Sim,,Sim,Sim,Sim,,Sim,,Sim,,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Toyota,Hilux SW4,SRV 4x4 3.0 Turbo  (aut)2,R$ 79.900,Lauro de Freitas - BA,2009/2009,Flex,2,270.000,,Prata,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,3.0 16V Turbo,163 (F),35.0 (F),N/C,- (F),N/C,N/C,4x4 permanente,,"Independente, braços duplos triangulares, molas helicoidais e barra estabilizadora",Four-link e molas helicoidais,Disco ventilado (ABS),Tambor (ABS),1850,1840,4695,,65,2750,900,5,Sim,,Sim,,,,,,,,Sim,,,,,,,,Sim,,Sim,,,,,,,,,,,Sim,Sim,Sim,,,,,,,,,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 120.900,Salvador - BA,2021/2022,Flex,8,16.691,,Preto,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chevrolet,Spin,LS 1.8 5S (Flex),R$ 68.900,Salvador - BA,2021/2021,Flex,5,94.000,,Branco,Monovolume,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,Sim,,,,Sim,Sim,1.8,111 (E) / 106 (G),17.7 (E) / 16.8 (G),173 (E),10.2 (E),7.8 (E) / 11.3 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1684,1735,4416,1167,53,2620,710,5,,Sim,Sim,,Sim,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 110.900,Salvador - BA,2021/2021,Flex,6,29.985,,Azul,SUV,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,Sim,,Sim,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 112.900,Salvador - BA,2021/2022,Flex,3,7.972,,Branco,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,,Sim,,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 121.900,Salvador - BA,2021/2022,Flex,6,15.125,,Preto,SUV,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,Sim,,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Volkswagen,Voyage,1.0 MPI (Flex),R$ 63.900,Salvador - BA,2022/2023,Flex,3,7.694,,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,Sim,,Sim,Sim,,,Sim,Sim,Sim,1.0,84 (E) / 77 (G),10.3 (E) / 9.6 (G),164 (E) / 162 (G),13.4 (E) / 13.7 (G),8.9 (E) / 13.4 (G),10.6 (E) / 15.6 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1464,1656,4213,1015,55,2467,480,5,,,,,,,,Sim,,,,,,,Sim,,,,,,Sim,,Sim,,Sim,,Sim,,,,,Sim,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
