Label,Value
147 C/ CL,437
147 Furgão (todos),438
147 Pick-Up (todas),439
500 ABARTH MULTIAIR 1.4 TB 16V 3p,7097
500 Cabrio Dualogic Flex 1.4 8V,6885
500 Cabrio Flex 1.4 8V Mec.,6886
500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,6262
500 Cult 1.4 Flex 8V EVO Dualogic,5613
500 Cult 1.4 Flex 8V EVO Mec.,5614
500 LOUNGE 1.4 16V 100cv  Mec.,5059
500 LOUNGE 1.4 16V 100cv Dualogic,5060
500 Lounge Air 1.4/ 1.4 Flex 16V Aut.,5615
500 SPORT 1.4 16V 100cv  Dualogic,5061
500 SPORT 1.4 16V 100cv Mec.,5062
500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,5616
500 Sport Air 1.4 16V/1.4 Flex Mec.,5617
500e ICON (Elétrico),9584
ARGO 1.0 6V Flex.,8315
ARGO DRIVE 1.0 6V Flex,7965
ARGO DRIVE 1.3 8V Flex,7966
ARGO DRIVE 1.3 8V Flex Aut.,10392
ARGO DRIVE GSR 1.3 8V Flex,7967
ARGO DRIVE S-DESIGN 1.3 8V Flex,9543
ARGO HGT 1.8 16V Flex Aut.,7968
ARGO HGT 1.8 16V Flex Mec.,7969
ARGO PRECISION 1.8 16V Flex Aut.,7971
ARGO PRECISION 1.8 16V Flex Mec.,7970
ARGO TREKKING 1.3 8V Flex,8690
ARGO TREKKING 1.3 8V Flex Aut.,10393
ARGO TREKKING 1.8 16V Flex Aut.,8947
Brava ELX  1.6 16V 4p,440
Brava HGT 1.8 mpi 16V  4p,441
Brava SX 1.6 16V 4p,442
Bravo ABSOLUTE 1.8 Flex 16V 5p,5446
Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,5447
Bravo BlackMotion 1.8 Dualogic Flex 5p,7132
Bravo BlackMotion 1.8 Flex 16v 5p,7133
Bravo ESSENCE 1.8 Flex 16V 5p,5448
Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449
Bravo SPORTING 1.8 Dualogic Flex 16V 5p,6051
Bravo SPORTING 1.8 Flex 16V 5p,6052
Bravo SX 1.6,443
Bravo T-JET 1.4 16V Turbo 5p,5591
Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p,6515
Bravo WOLVERINE 1.8 Flex 16V 5p,6516
Cinquecento 0.7,444
Coupe 16V,445
CRONOS 1.0 6V Flex,9988
CRONOS 1.3 8V Flex,8199
CRONOS 1.8 16V Flex Aut. ,9590
CRONOS DRIVE 1.0 6V Flex,9989
CRONOS DRIVE 1.3 8V Flex,8200
CRONOS DRIVE 1.3 8V Flex Aut.,9990
CRONOS DRIVE 1.8 16V Flex Aut.,8518
CRONOS DRIVE GSR 1.3 8V Flex,8201
CRONOS HGT 1.8 16V Flex Aut.,8778
CRONOS PRECISION 1.3 8V Flex Aut.,10394
CRONOS PRECISION 1.8 16V Flex Aut.,8202
CRONOS PRECISION 1.8 16V Flex Mec.,8203
Doblo  1.4 mpi Fire Flex  8V 4p,5104
Doblo  Cargo 1.4 mpi Fire Flex 8V 3p,5105
Doblo Adv. XINGU 1.8 Flex 16V 5p,6053
Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p,6054
Doblo Adv.Ext./Adv.Ext.Loc. 1.8 16V Flex,7503
Doblo Adv/Adv TRYON/LOCKER 1.8 Flex,3933
Doblo Adventure/ Adv.ER 1.8 mpi 8V 103cv,446
Doblo ATTRACTIVE 1.4 Fire Flex 8V 5p,5535
Doblo Cargo 1.3 Fire 16V 4/5p,447
Doblo Cargo 1.6 16V 4/5p,448
Doblo Cargo 1.8 mpi 8V 103cv,449
Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p,3934
Doblo ELX 1.4 mpi Fire Flex 8V 4p,5106
Doblo ELX 1.6 16V 4/5p,450
Doblo ELX 1.8 mpi 8V 103cv,451
Doblo ELX 1.8 mpi 8V Flex,3935
Doblo ESSENCE 1.8 Flex 16V 5p,5536
Doblo EX 1.3 Fire 16V 80cv 4/5p,452
Doblo HLX 1.8 mpi Flex 5p,4097
Ducato Cargo 2.2 Diesel (E6),10659
Ducato Cargo 2.8 Curto/Longo TB Diesel,453
Ducato Cargo Curto 2.3 16V Diesel,8204
Ducato Cargo Curto 2.3 ME Diesel,5022
Ducato Cargo Longo 2.3 ME Diesel,5023
Ducato Cargo Médio 2.3 16V Diesel,8205
Ducato Chassi 2.3 16V Diesel,8206
Ducato Combinato 2.3 ME Diesel,5024
Ducato Combinato 2.8 Diesel,454
Ducato Combinato 2.8 Turbo Diesel,455
Ducato Executivo 2.3 16V Diesel,8395
Ducato Furgão Maxi 2.8 Diesel,456
Ducato Maxi. Curta 2.3 T.Alto ME Diesel,5025
Ducato Maxi. Long. 2.3 T.Alto ME Diesel,5026
Ducato MaxiCargo 2.2 Diesel (E6),10660
Ducato MaxiCargo 2.3 16V Diesel,8207
Ducato MaxiCargo/Furgão Maxi 2.8 TB Dies,457
Ducato MaxiMulti 2.3 16V Diesel,8208
Ducato Minibus 2.2 Comf.19L Diesel (E6),10661
Ducato Minibus 2.2 Exec. 17L Diesel (E6),10662
Ducato Minibus 2.3 16V Diesel,8396
Ducato Minibus 2.3 ME Diesel,5027
Ducato Minibus 2.3 T.Alto ME Diesel,5028
Ducato Minibus 2.8 Diesel,458
Ducato Minibus 2.8 Turbo Diesel,459
Ducato Minibus Comfort 2.3 16v Diesel,8397
Ducato Mult/ Vetrato 2.8 T.Alto TB Dies.,460
Ducato Mult/ Vetrato 2.8 T.Baixo TB Dies,461
Ducato Multi 2.2 Diesel (E6),10663
Ducato Multi 2.3 16V Diesel,8209
Ducato Multi Long. 2.3 T.Alto ME Diesel,5029
Ducato Van 2.5  Diesel,462
Ducato Vip Bus 2.3 16V Diesel,8398
Ducato-10 Furgão 2.5 Diesel,463
Ducato-15 2.8 Furgão TB Diesel,464
Ducato-15 Furgão 2.8 Diesel,465
Ducato-8 Furgão 2.5 Diesel,466
Duna 1.6ie,467
Elba 1.6i.e/Top/CSL/ 1.6i.e/1.5 2p e 4p,468
Elba CS 1.6 / 1.5 /1.3,469
Elba S 1.6/ 1.5ie / 1.5 / 1.3,470
Elba Weekend 1.5 i.e. 2p e 4p,471
E-Scudo (Elétrico),10369
Fastback 1.0 200 Turbo Flex Aut,10754
Fastback ABARTH Turbo Flex 1.3 Aut.,10881
Fastback Audace 1.0 200 T. Flex Aut,10101
Fastback Impetus 1.0 200 T. Flex Aut,10102
Fastback Limited Ed.1.3 270 T.Flex Aut.,10103
Fiorino Endurance EVO 1.4 Flex 8V 2p,9194
Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,473
Fiorino Furgão 1.0,472
Fiorino Furgão 1.5 mpi / i.e.,474
Fiorino Furgão Celeb. EVO 1.4 Flex 8V 2p,6662
Fiorino Furgão EVO 1.4 Flex 8V 2p,6663
Fiorino Furgão Work. HARD 1.4 Flex 8V 2p,7751
Fiorino Pick-Up 1.0,475
Fiorino Pick-Up 1.5 i.e./1.3/1.5/HD,476
Fiorino Pick-Up LX (todas),477
Fiorino Pick-Up Trekking 1.5 mpi / i.e.,478
Fiorino Pick-Up Working 1.5 mpi / i.e.,479
Fiorino Working 1.4 Flex 8V 2p,9208
FREEMONT EMOT./PRECISION 2.4 16V 5p Aut.,5618
Grand Siena 1.0 EVO Flex 8V 4p,9209
Grand Siena 1.4 EVO Flex 8V 4p,9210
Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,5925
Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,7824
Grand Siena ESSEN. ITALIA Dual. 1.6 Flex,6955
Grand Siena ESSEN.SUBLIME 1.6 Flex,6488
Grand Siena ESSEN.SUBLIME Dual. 1.6 Flex,6489
Grand Siena ESSENCE 1.6 Flex 16V,5926
Grand Siena ESSENCE Dual. 1.6 Flex 16V,5927
Grand Siena ESSENCE ITALIA 1.6 Flex 16V,6956
Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,5928
Idea A.Ext./A..Ext.Loc.Dual. 1.8 Flex 5p,7504
Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,4966
Idea Adv.Ext./Adv.Ext. Loc. 1.8 Flex 5p,7505
Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,4160
Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,5340
Idea ELX 1.4 mpi Fire Flex 8V 5p,480
Idea ELX 1.8 mpi Flex 8V 5p,4962
Idea ESSENCE 1.6 Flex 16V 5p,5341
Idea ESSENCE Dualogic 1.6 Flex 16V 5p,5342
Idea ESSENCE SUBLIME 1.6 Flex 16V 5p,6711
Idea ESSENCE SUBLIME Dual.1.6 Flex16V 5p,6712
Idea HLX 1.8 mpi Flex 8V 5p,481
Idea SPORTING 1.8 Flex 16V 5p,5343
Idea SPORTING Dualogic 1.8 Flex 16V 5p,5344
LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p,4748
LINEA 1.9/ HLX 1.9/1.8 Flex  Dualogic 4p,4750
